iter	Passed	Remaining
323	2517	5251
324	2523	5241
325	2530	5232
326	2537	5222
327	2544	5214
328	2552	5205
329	2559	5197
330	2566	5187
331	2573	5178
332	2580	5167
333	2587	5159
334	2593	5149
335	2600	5139
336	2620	5155
337	2633	5157
338	2644	5156
339	2655	5153
340	2665	5150
341	2673	5144
342	2681	5135
343	2688	5127
344	2695	5118
345	2703	5109
346	2709	5099
347	2716	5089
348	2723	5080
349	2730	5070
350	2737	5061
351	2744	5051
352	2751	5042
353	2757	5032
354	2764	5022
355	2771	5012
356	2777	5002
357	2784	4994
358	2791	4984
359	2798	4974
360	2805	4965
361	2811	4955
362	2818	4945
363	2824	4935
364	2831	4926
365	2838	4917
366	2846	4909
367	2852	4899
368	2859	4890
369	2866	4880
370	2873	4871
371	2879	4861
372	2886	4852
373	2893	4843
374	2900	4833
375	2906	4823
376	2913	4814
377	2920	4805
378	2927	4796
379	2934	4787
380	2940	4778
381	2947	4768
382	2955	4760
383	2961	4751
384	2968	4742
385	2975	4733
386	2982	4723
387	2989	4715
388	2996	4706
389	3003	4697
390	3009	4687
391	3016	4678
392	3023	4669
393	3030	4660
394	3036	4651
395	3043	4642
396	3050	4633
397	3057	4624
398	3064	4615
399	3071	4606
400	3077	4597
401	3085	4590
402	3092	4581
403	3099	4572
404	3105	4563
405	3112	4553
406	3119	4544
407	3125	4535
408	3132	4526
409	3139	4517
410	3145	4508
411	3152	4498
412	3158	4489
413	3166	4481
414	3172	4472
415	3179	4463
416	3187	4455
417	3193	4446
418	3199	4436
419	3206	4427
420	3212	4418
421	3219	4409
422	3225	4400
423	3232	4391
424	3239	4382
425	3246	4374
426	3253	4365
427	3259	4356
428	3266	4347
429	3273	4338
430	3280	4330
431	3286	4321
432	3293	4312
433	3299	4303
434	3306	4294
435	3312	4285
436	3319	4276
437	3325	4267
438	3332	4258
439	3338	4249
440	3345	4241
441	3352	4232
442	3360	4224
443	3366	4215
444	3373	4207
445	3379	4198
446	3386	4189
447	3393	4180
448	3399	4171
449	3405	4162
450	3412	4154
451	3419	4146
452	3426	4137
453	3432	4128
454	3440	4120
455	3446	4112
456	3453	4103
457	3459	4094
458	3466	4086
459	3473	4077
460	3479	4068
461	3486	4059
462	3492	4051
463	3499	4042
464	3506	4034
465	3513	4025
466	3519	4017
467	3526	4008
468	3533	4000
469	3539	3991
470	3547	3984
471	3554	3976
472	3561	3968
473	3568	3959
474	3575	3951
475	3582	3943
476	3588	3934
477	3595	3926
478	3601	3917
479	3608	3909
480	3615	3901
481	3622	3893
482	3629	3884
483	3636	3876
484	3642	3868
485	3649	3860
486	3656	3852
487	3664	3844
488	3670	3835
489	3677	3827
490	3684	3819
491	3691	3811
492	3697	3802
493	3704	3794
494	3710	3785
495	3717	3777
496	3724	3769
497	3731	3761
498	3738	3753
499	3745	3745
500	3752	3737
501	3759	3729
502	3766	3721
503	3773	3713
504	3779	3704
505	3785	3696
506	3792	3687
507	3798	3679
508	3805	3671
509	3812	3662
510	3818	3654
511	3825	3646
512	3831	3637
513	3838	3629
514	3844	3620
515	3851	3612
516	3858	3604
517	3865	3596
518	3872	3588
519	3878	3580
520	3885	3572
521	3891	3563
522	3898	3555
523	3905	3547
524	3911	3539
525	3918	3531
526	3925	3523
527	3932	3515
528	3938	3507
529	3945	3499
530	3952	3491
531	3959	3482
532	3965	3474
533	3972	3466
534	3979	3458
535	3985	3450
536	3992	3442
537	3999	3434
538	4005	3425
539	4012	3417
540	4018	3409
541	4025	3401
542	4032	3393
543	4038	3385
544	4045	3377
545	4052	3369
546	4059	3361
547	4065	3353
548	4072	3345
549	4079	3337
550	4085	3329
551	4092	3321
552	4099	3313
553	4105	3305
554	4112	3297
555	4119	3289
556	4125	3281
557	4132	3273
558	4138	3265
559	4145	3257
560	4152	3249
561	4159	3242
562	4167	3235
563	4174	3227
564	4181	3219
565	4187	3211
566	4194	3203
567	4200	3194
568	4207	3186
569	4213	3178
570	4219	3170
571	4226	3162
572	4232	3154
573	4239	3146
574	4245	3138
575	4252	3130
576	4259	3122
577	4266	3115
578	4273	3107
579	4280	3099
580	4287	3091
581	4293	3083
582	4300	3076
583	4307	3068
584	4313	3060
585	4320	3052
586	4327	3044
587	4333	3036
588	4339	3028
589	4346	3020
590	4352	3012
591	4359	3004
592	4366	2996
593	4373	2989
594	4379	2981
595	4386	2973
596	4393	2965
597	4399	2957
598	4407	2950
599	4419	2946
600	4429	2940
601	4438	2934
602	4446	2927
603	4454	2920
604	4461	2913
605	4468	2905
606	4475	2897
607	4481	2889
608	4488	2881
609	4495	2874
610	4502	2866
611	4508	2858
612	4515	2850
613	4521	2842
614	4528	2834
615	4534	2826
616	4541	2818
617	4548	2811
618	4556	2804
619	4563	2796
620	4569	2789
621	4576	2781
622	4582	2773
623	4589	2765
624	4595	2757
625	4602	2749
626	4608	2741
627	4614	2733
628	4621	2725
629	4628	2718
630	4634	2710
631	4641	2702
632	4647	2694
633	4654	2687
634	4662	2679
635	4668	2671
636	4675	2664
637	4681	2656
638	4687	2648
639	4694	2640
640	4701	2633
641	4708	2625
642	4715	2617
643	4722	2610
644	4728	2602
645	4735	2595
646	4742	2587
647	4748	2579
648	4755	2571
649	4761	2564
650	4768	2556
651	4774	2548
652	4781	2540
653	4787	2532
654	4793	2524
655	4800	2517
656	4806	2509
657	4813	2501
658	4819	2493
659	4826	2486
660	4832	2478
661	4839	2470
662	4845	2463
663	4852	2455
664	4858	2447
665	4865	2440
666	4872	2432
667	4878	2424
668	4885	2417
669	4891	2409
670	4898	2401
671	4905	2394
672	4911	2386
673	4918	2378
674	4925	2371
675	4931	2363
676	4937	2355
677	4944	2348
678	4952	2341
679	4958	2333
680	4965	2325
681	4971	2318
682	4978	2310
683	4985	2303
684	4991	2295
685	4998	2287
686	5004	2280
687	5011	2272
688	5017	2264
689	5024	2257
690	5030	2249
691	5037	2242
692	5043	2234
693	5050	2226
694	5056	2219
695	5063	2211
696	5070	2204
697	5076	2196
698	5083	2188
699	5089	2181
700	5095	2173
701	5102	2165
702	5108	2158
703	5115	2150
704	5122	2143
705	5128	2135
706	5135	2128
707	5141	2120
708	5149	2113
709	5155	2105
710	5162	2098
711	5169	2090
712	5175	2083
713	5182	2075
714	5188	2068
715	5194	2060
716	5201	2053
717	5208	2045
718	5214	2037
719	5221	2030
720	5227	2022
721	5234	2015
722	5240	2007
723	5246	2000
724	5253	1992
725	5259	1985
726	5266	1977
727	5273	1970
728	5280	1963
729	5287	1955
730	5293	1948
731	5300	1940
732	5307	1933
733	5313	1925
734	5320	1918
735	5327	1910
736	5333	1903
737	5340	1895
738	5347	1888
739	5354	1881
740	5360	1873
741	5366	1866
742	5373	1858
743	5380	1851
744	5386	1843
745	5393	1836
746	5400	1828
747	5406	1821
748	5413	1814
749	5420	1806
750	5426	1799
751	5433	1791
752	5439	1784
753	5446	1776
754	5452	1769
755	5459	1762
756	5466	1754
757	5473	1747
758	5480	1740
759	5487	1732
760	5493	1725
761	5499	1717
762	5506	1710
763	5512	1702
764	5519	1695
765	5525	1688
766	5532	1680
767	5538	1673
768	5545	1665
769	5552	1658
770	5558	1651
771	5565	1643
772	5571	1636
773	5578	1628
774	5585	1621
775	5591	1614
776	5598	1606
777	5604	1599
778	5611	1592
779	5618	1584
780	5624	1577
781	5631	1569
782	5637	1562
783	5644	1555
784	5650	1547
785	5657	1540
786	5663	1532
787	5670	1525
788	5677	1518
789	5684	1510
790	5690	1503
791	5697	1496
792	5704	1489
793	5711	1481
794	5717	1474
795	5723	1466
796	5730	1459
797	5736	1452
798	5744	1445
799	5751	1437
800	5758	1430
801	5764	1423
802	5770	1415
803	5777	1408
804	5784	1401
805	5791	1393
806	5797	1386
807	5803	1379
808	5810	1371
809	5816	1364
810	5823	1357
811	5829	1349
812	5836	1342
813	5842	1335
814	5850	1327
815	5856	1320
816	5863	1313
817	5869	1306
818	5876	1298
819	5883	1291
820	5890	1284
821	5897	1277
822	5904	1269
823	5910	1262
824	5917	1255
825	5923	1247
826	5930	1240
827	5936	1233
828	5943	1225
829	5950	1218
830	5956	1211
831	5962	1204
832	5969	1196
833	5976	1189
834	5982	1182
835	5989	1175
836	5996	1167
837	6002	1160
838	6009	1153
839	6015	1145
840	6021	1138
841	6028	1131
842	6034	1123
843	6041	1116
844	6047	1109
845	6054	1102
846	6060	1094
847	6067	1087
848	6073	1080
849	6080	1072
850	6087	1065
851	6093	1058
852	6100	1051
853	6106	1044
854	6113	1036
855	6119	1029
856	6126	1022
857	6132	1014
858	6139	1007
859	6145	1000
860	6153	993
861	6159	986
862	6165	978
863	6172	971
864	6178	964
865	6185	957
866	6192	949
867	6198	942
868	6205	935
869	6212	928
870	6218	920
871	6225	913
872	6231	906
873	6238	899
874	6244	892
875	6251	884
876	6258	877
877	6265	870
878	6271	863
879	6277	856
880	6284	848
881	6290	841
882	6297	834
883	6304	827
884	6310	820
885	6317	812
886	6323	805
887	6330	798
888	6336	791
889	6343	783
890	6349	776
891	6355	769
892	6362	762
893	6368	755
894	6375	747
895	6381	740
896	6387	733
897	6394	726
898	6400	719
899	6407	711
900	6414	704
901	6420	697
902	6427	690
903	6433	683
904	6439	676
905	6446	668
906	6452	661
907	6459	654
908	6466	647
909	6472	640
910	6478	632
911	6484	625
912	6491	618
913	6498	611
914	6505	604
915	6511	597
916	6518	589
917	6524	582
918	6531	575
919	6537	568
920	6544	561
921	6552	554
922	6558	547
923	6565	540
924	6571	532
925	6578	525
926	6585	518
927	6591	511
928	6598	504
929	6604	497
930	6611	489
931	6618	482
932	6625	475
933	6632	468
934	6638	461
935	6645	454
936	6652	447
937	6658	440
938	6665	432
939	6671	425
940	6678	418
941	6684	411
942	6691	404
943	6698	397
944	6704	390
945	6710	383
946	6717	375
947	6724	368
948	6730	361
949	6737	354
950	6743	347
951	6750	340
952	6756	333
953	6763	326
954	6769	318
955	6777	311
956	6784	304
957	6790	297
958	6797	290
959	6804	283
960	6810	276
961	6817	269
962	6824	262
963	6830	255
964	6837	247
965	6844	240
966	6850	233
967	6856	226
968	6863	219
969	6870	212
970	6876	205
971	6883	198
972	6890	191
973	6897	184
974	6903	177
975	6910	169
976	6916	162
977	6923	155
978	6930	148
979	6937	141
980	6944	134
981	6951	127
982	6957	120
983	6964	113
984	6970	106
985	6977	99
986	6983	91
987	6989	84
988	6996	77
989	7002	70
990	7009	63
991	7015	56
992	7022	49
993	7029	42
994	7035	35
995	7042	28
996	7049	21
997	7055	14
998	7062	7
999	7069	0
